Ep 4340	Last score: 56.02	Moving average score: 482.38
Ep 4350	Last score: 42.20	Moving average score: 449.00
Ep 4360	Last score: 56.04	Moving average score: 415.04
Ep 4370	Last score: 56.04	Moving average score: 383.82
Ep 4380	Last score: 56.08	Moving average score: 363.95
Ep 4390	Last score: 56.00	Moving average score: 347.61
Ep 4400	Last score: 253.39	Moving average score: 334.26
Ep 4410	Last score: 436.63	Moving average score: 317.25
Ep 4420	Last score: 254.75	Moving average score: 294.36
Ep 4430	Last score: 23.42	Moving average score: 279.61
Ep 4440	Last score: 260.84	Moving average score: 272.14
Ep 4450	Last score: 289.51	Moving average score: 263.31
Ep 4460	Last score: 395.24	Moving average score: 258.98
Ep 4470	Last score: 56.01	Moving average score: 251.23
Ep 4480	Last score: -4.41	Moving average score: 239.96
Ep 4490	Last score: 9.27	Moving average score: 231.11
Ep 4500	Last score: 56.08	Moving average score: 226.97
Ep 4510	Last score: 338.26	Moving average score: 222.14
Ep 4520	Last score: 423.75	Moving average score: 212.97
Ep 4530	Last score: 56.04	Moving average score: 209.36
Ep 4540	Last score: 56.01	Moving average score: 202.62
Ep 4550	Last score: 280.07	Moving average score: 197.80
Ep 4560	Last score: 278.03	Moving average score: 198.54
Ep 4570	Last score: 32.71	Moving average score: 199.62
Ep 4580	Last score: 56.05	Moving average score: 201.46
Ep 4590	Last score: 284.34	Moving average score: 194.38
Ep 4600	Last score: 252.30	Moving average score: 204.07
Ep 4610	Last score: 56.10	Moving average score: 201.58
Ep 4620	Last score: 56.06	Moving average score: 198.78
Ep 4630	Last score: 13.77	Moving average score: 194.02
Ep 4640	Last score: 37.27	Moving average score: 192.41
Ep 4650	Last score: 403.16	Moving average score: 190.58
Ep 4660	Last score: 24.41	Moving average score: 177.83
Ep 4670	Last score: 56.01	Moving average score: 177.89
Ep 4680	Last score: 7.08	Moving average score: 175.14
Ep 4690	Last score: 308.20	Moving average score: 192.26
Ep 4700	Last score: 16.30	Moving average score: 200.07
Ep 4710	Last score: 678.55	Moving average score: 208.40
Ep 4720	Last score: 403.76	Moving average score: 212.80
Ep 4730	Last score: 56.08	Moving average score: 217.41
Ep 4740	Last score: 731.78	Moving average score: 222.03
Ep 4750	Last score: 390.23	Moving average score: 215.79
Ep 4760	Last score: 43.30	Moving average score: 219.76
Ep 4770	Last score: 722.81	Moving average score: 246.51
Ep 4780	Last score: 42.77	Moving average score: 262.25
Ep 4790	Last score: 11.40	Moving average score: 265.96
Ep 4800	Last score: 11.14	Moving average score: 270.04
Ep 4810	Last score: 502.46	Moving average score: 289.25
Ep 4820	Last score: 37.69	Moving average score: 301.80
Ep 4830	Last score: 329.89	Moving average score: 314.77
Ep 4840	Last score: 742.39	Moving average score: 321.25
Ep 4850	Last score: 56.09	Moving average score: 333.35
Ep 4860	Last score: 457.83	Moving average score: 347.25
Ep 4870	Last score: 848.21	Moving average score: 367.04
Ep 4880	Last score: 56.01	Moving average score: 383.68
Ep 4890	Last score: 336.35	Moving average score: 370.47
Ep 4900	Last score: 778.48	Moving average score: 365.01
Ep 4910	Last score: 44.40	Moving average score: 377.33
Ep 4920	Last score: 56.00	Moving average score: 372.19
Ep 4930	Last score: 768.31	Moving average score: 377.51
Ep 4940	Last score: 617.29	Moving average score: 395.45
Ep 4950	Last score: 331.28	Moving average score: 402.80
Ep 4960	Last score: 573.61	Moving average score: 417.58
Ep 4970	Last score: 45.94	Moving average score: 416.33
Ep 4980	Last score: 571.00	Moving average score: 426.97
Ep 4990	Last score: 56.05	Moving average score: 418.88
Ep 5000	Last score: 305.48	Moving average score: 405.98
Ep 5010	Last score: 56.05	Moving average score: 427.51
Ep 5020	Last score: 765.28	Moving average score: 438.99
Ep 5030	Last score: 797.09	Moving average score: 449.76
Ep 5040	Last score: 800.74	Moving average score: 471.93
Ep 5050	Last score: 724.75	Moving average score: 472.36
Ep 5060	Last score: 539.98	Moving average score: 478.45
Ep 5070	Last score: 786.01	Moving average score: 473.89
Ep 5080	Last score: 56.09	Moving average score: 480.43
Ep 5090	Last score: 770.82	Moving average score: 473.42
Ep 5100	Last score: 754.10	Moving average score: 484.07
Ep 5110	Last score: 796.04	Moving average score: 495.93
Ep 5120	Last score: 332.47	Moving average score: 482.37
Ep 5130	Last score: 735.46	Moving average score: 484.54
Ep 5140	Last score: 26.54	Moving average score: 480.90
Ep 5150	Last score: 755.49	Moving average score: 473.75
Ep 5160	Last score: 250.70	Moving average score: 466.73
Ep 5170	Last score: 255.63	Moving average score: 477.30
Ep 5180	Last score: 49.48	Moving average score: 486.95
Ep 5190	Last score: 746.13	Moving average score: 472.34
Ep 5200	Last score: 794.63	Moving average score: 470.81
Ep 5210	Last score: 56.10	Moving average score: 474.43
